"filename", "language", "JSON", "JavaScript JSX", "Markdown", "HTML", "XML", "JavaScript", "JSON with Comments", "comment", "blank", "total"
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\hooks\useResponsive.js", "JavaScript", 0, 0, 0, 0, 0, 29, 0, 4, 16, 49
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\index.js", "JavaScript", 0, 0, 0, 0, 0, 4, 0, 2, 7, 13
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\auth\PersistLogin.js", "JavaScript", 0, 0, 0, 0, 0, 42, 0, 3, 7, 52
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\auth\RequireAuthLayout.js", "JavaScript", 0, 0, 0, 0, 0, 47, 0, 4, 12, 63
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\DashboardLayout.js", "JavaScript", 0, 0, 0, 0, 0, 37, 0, 4, 11, 52
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\footer\index.js", "JavaScript", 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\header\AccountPopover.js", "JavaScript", 0, 0, 0, 0, 0, 115, 0, 5, 15, 135
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\header\ColorSwitcher.js", "JavaScript", 0, 0, 0, 0, 0, 54, 0, 0, 7, 61
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\header\CurrentDate.js", "JavaScript", 0, 0, 0, 0, 0, 48, 0, 0, 10, 58
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\header\LanguagePopover.js", "JavaScript", 0, 0, 0, 0, 0, 75, 0, 3, 10, 88
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\header\NotificationsPopover.js", "JavaScript", 0, 0, 0, 0, 0, 178, 0, 36, 30, 244
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\header\Searchbar.js", "JavaScript", 0, 0, 0, 0, 0, 63, 0, 5, 10, 78
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\header\ThemeSwitcher.js", "JavaScript", 0, 0, 0, 0, 0, 24, 0, 1, 4, 29
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\header\index.js", "JavaScript", 0, 0, 0, 0, 0, 67, 0, 6, 12, 85
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\index.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\nav\config.js", "JavaScript", 0, 0, 0, 0, 0, 54, 0, 2, 9, 65
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\dashboard\nav\index.js", "JavaScript", 0, 0, 0, 0, 0, 89, 0, 8, 14, 111
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\simple\SimpleLayout.js", "JavaScript", 0, 0, 0, 0, 0, 24, 0, 4, 6, 34
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\layouts\simple\index.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\src\pages\BlogPage.js", "JavaScript", 0, 0, 0, 0, 0, 38, 0, 5, 8, 51
